UserID,Phase,Group,Send2%,Challenge%,ActualSend2,ActualChallenge,SendPayout,ChallengePayouy
1,1,Unk,20,30,48.57,100.0,0.0,0.0
1,1,Same,49,77,39.26,100.0,13.17,0.0
1,1,Diff,33,74,59.85,100.0,0.0,0.0
2,1,Unk,85,41,52.14,100.0,0.0,0.0
2,1,Same,8,79,39.26,100.0,0.0,0.0
2,1,Diff,93,17,55.3,100.0,0.0,0.0
3,1,Unk,61,9,50.95,100.0,12.73,0.0
3,1,Same,94,91,39.26,100.0,0.0,14.17
3,1,Diff,36,56,56.82,100.0,0.0,0.0
4,1,Unk,1,15,50.95,100.0,0.0,0.0
4,1,Same,19,10,39.26,100.0,0.0,0.0
4,1,Diff,55,55,59.85,100.0,18.31,0.0
5,1,Unk,93,65,53.33,100.0,0.0,0.0
5,1,Same,45,3,39.26,100.0,17.63,0.0
5,1,Diff,37,80,50.76,100.0,6.37,0.0
6,1,Unk,42,82,50.95,100.0,14.23,0.0
6,1,Same,86,40,39.26,100.0,0.0,0.0
6,1,Diff,39,13,56.21,100.0,0.0,0.0
7,1,Unk,23,13,49.52,100.0,0.0,0.0
7,1,Same,7,14,39.26,100.0,0.0,0.0
7,1,Diff,77,94,55.3,100.0,0.0,17.41
8,1,Unk,53,92,53.33,100.0,19.99,15.39
8,1,Same,32,1,39.26,100.0,16.21,0.0
8,1,Diff,67,97,55.3,100.0,10.15,19.35
9,1,Unk,90,11,53.33,100.0,0.0,0.0
9,1,Same,97,39,39.26,100.0,0.0,0.0
9,1,Diff,39,27,56.21,100.0,0.0,0.0
10,1,Unk,98,40,50.95,100.0,0.0,0.0
10,1,Same,52,64,39.26,100.0,8.31,0.0
10,1,Diff,38,39,57.58,100.0,0.0,0.0
11,1,Unk,25,99,59.05,96.43,0.0,19.52
11,1,Same,60,87,39.17,92.0,0.0,18.2
11,1,Diff,31,66,64.7,100.0,0.0,0.0
12,1,Unk,26,24,55.87,96.43,0.0,0.0
12,1,Same,34,6,39.17,92.0,18.08,0.0
12,1,Diff,67,50,58.64,100.0,14.96,0.0
13,1,Unk,35,95,55.87,96.43,0.0,19.85
13,1,Same,74,69,39.17,92.0,0.0,0.0
13,1,Diff,28,24,55.61,100.0,0.0,0.0
14,1,Unk,41,45,57.46,96.43,0.49,0.0
14,1,Same,56,41,39.17,92.0,0.0,0.0
14,1,Diff,53,93,61.67,100.0,14.59,16.47
15,1,Unk,80,44,58.25,96.43,0.0,0.0
15,1,Same,2,45,39.17,92.0,0.0,0.0
15,1,Diff,46,87,58.64,100.0,8.5,7.83
16,1,Unk,19,12,57.06,96.43,0.0,0.0
16,1,Same,28,80,39.17,92.0,12.56,9.63
16,1,Diff,82,4,57.88,100.0,0.0,0.0
17,1,Unk,31,43,58.25,96.43,0.0,0.0
17,1,Same,12,32,39.17,92.0,0.0,0.0
17,1,Diff,74,9,64.7,100.0,13.77,0.0
18,1,Unk,92,11,60.63,96.43,0.0,0.0
18,1,Same,96,17,39.17,92.0,0.0,0.0
18,1,Diff,16,35,64.7,100.0,0.0,0.0
19,1,Unk,85,22,57.78,96.43,0.0,0.0
19,1,Same,35,53,39.17,92.0,18.75,0.0
19,1,Diff,56,60,64.7,100.0,15.73,0.0
20,1,Unk,38,25,59.44,96.43,0.0,0.0
20,1,Same,56,11,39.17,92.0,0.0,0.0
