UserID,Phase,Group,Send2%,Challenge%,ActualSend2,ActualChallenge,SendPayout,ChallengePayouy
1,1,Unk,57,18,46.51,100.0,5.25,0.0
1,1,Same,72,81,59.26,100.0,4.16,0.0
1,1,Diff,46,42,68.79,100.0,0.0,0.0
2,1,Unk,30,28,46.51,96.03,0.19,0.0
2,1,Same,80,33,59.26,100.0,0.0,0.0
2,1,Diff,17,56,66.52,90.91,0.0,0.0
3,1,Unk,30,78,46.51,100.0,0.19,0.0
3,1,Same,52,16,59.26,100.0,8.1,0.0
3,1,Diff,91,81,65.0,100.0,0.0,0.0
4,1,Unk,54,38,48.89,100.0,9.06,0.0
4,1,Same,50,19,59.26,100.0,6.91,0.0
4,1,Diff,64,35,71.06,100.0,8.21,0.0
5,1,Unk,50,20,48.89,100.0,9.96,0.0
5,1,Same,39,33,59.26,100.0,0.0,0.0
5,1,Diff,5,74,68.79,100.0,0.0,0.0
6,1,Unk,6,37,47.3,100.0,0.0,0.0
6,1,Same,28,90,59.26,100.0,0.0,6.4
6,1,Diff,77,45,66.52,100.0,6.04,0.0
7,1,Unk,27,42,48.89,100.0,0.0,0.0
7,1,Same,6,61,59.26,100.0,0.0,0.0
7,1,Diff,67,83,61.97,100.0,9.09,0.0
8,1,Unk,65,68,48.89,100.0,0.66,0.0
8,1,Same,44,2,59.26,100.0,1.62,0.0
8,1,Diff,97,48,71.06,100.0,0.0,0.0
9,1,Unk,32,23,45.32,100.0,3.62,0.0
9,1,Same,93,28,59.26,100.0,0.0,0.0
9,1,Diff,28,98,66.52,100.0,0.0,9.86
10,1,Unk,92,14,47.3,100.0,0.0,0.0
10,1,Same,53,55,59.26,100.0,8.59,0.0
10,1,Diff,25,34,66.52,100.0,0.0,0.0
11,1,Unk,68,21,56.51,91.27,5.25,0.0
11,1,Same,52,85,58.33,96.67,8.56,5.1
11,1,Diff,89,64,56.67,90.91,0.0,0.0
12,1,Unk,35,14,55.79,91.27,0.0,0.0
12,1,Same,31,59,58.33,96.67,0.0,0.0
12,1,Diff,37,51,62.12,90.91,0.0,0.0
13,1,Unk,1,65,56.11,91.27,0.0,0.0
13,1,Same,14,85,58.33,96.67,0.0,5.1
13,1,Diff,12,79,57.58,90.91,0.0,4.89
14,1,Unk,89,68,55.32,91.27,0.0,0.0
14,1,Same,96,15,58.33,96.67,0.0,0.0
14,1,Diff,4,83,55.3,90.91,0.0,7.75
15,1,Unk,83,9,56.51,91.27,0.0,0.0
15,1,Same,50,48,58.33,96.67,7.5,0.0
15,1,Diff,73,75,59.09,90.91,3.04,0.89
16,1,Unk,1,42,55.32,91.27,0.0,0.0
16,1,Same,8,37,58.33,96.67,0.0,0.0
16,1,Diff,23,96,62.12,90.91,0.0,9.07
17,1,Unk,19,80,55.32,91.27,0.0,5.43
17,1,Same,72,1,58.33,96.67,3.28,0.0
17,1,Diff,12,41,57.58,90.91,0.0,0.0
18,1,Unk,62,68,55.32,91.27,8.39,0.0
18,1,Same,10,59,58.33,96.67,0.0,0.0
18,1,Diff,94,19,62.12,90.91,0.0,0.0
19,1,Unk,57,30,54.13,91.27,9.46,0.0
19,1,Same,90,35,58.33,96.67,0.0,0.0
19,1,Diff,36,61,62.12,90.91,0.0,0.0
20,1,Unk,25,46,55.32,91.27,0.0,0.0
20,1,Same,30,6,58.33,96.67,0.0,0.0
20,1,Diff,17,24,57.58,90.91,0.0,0.0
21,1,Unk,82,34,47.3,100.0,0.0,0.0
21,1,Same,47,4,45.67,100.0,9.94,0.0
21,1,Diff,71,25,49.17,100.0,0.0,0.0
22,1,Unk,59,33,45.08,100.0,3.02,0.0
22,1,Same,38,86,45.67,100.0,7.88,2.94
22,1,Diff,33,62,45.0,100.0,4.82,0.0
23,1,Unk,93,26,45.71,100.0,0.0,0.0
23,1,Same,89,77,45.67,100.0,0.0,0.0
23,1,Diff,41,40,41.67,100.0,9.98,0.0
24,1,Unk,48,3,48.89,100.0,9.97,0.0
24,1,Same,37,5,45.67,100.0,7.3,0.0
24,1,Diff,73,59,51.67,100.0,0.0,0.0
25,1,Unk,32,80,44.13,100.0,4.71,0.0
25,1,Same,8,50,45.67,100.0,0.0,0.0
25,1,Diff,18,28,51.67,100.0,0.0,0.0
26,1,Unk,51,7,44.92,100.0,8.67,0.0
26,1,Same,5,42,45.67,100.0,0.0,0.0
26,1,Diff,16,32,46.67,100.0,0.0,0.0
27,1,Unk,70,65,46.51,100.0,0.0,0.0
27,1,Same,62,45,45.67,100.0,0.4,0.0
27,1,Diff,89,59,46.67,100.0,0.0,0.0
28,1,Unk,61,3,46.51,100.0,2.44,0.0
28,1,Same,45,56,45.67,100.0,9.98,0.0
28,1,Diff,30,22,51.67,100.0,0.0,0.0
29,1,Unk,6,30,47.3,100.0,0.0,0.0
29,1,Same,40,28,45.67,100.0,8.84,0.0
29,1,Diff,16,57,51.67,100.0,0.0,0.0
30,1,Unk,5,10,44.13,95.24,0.0,0.0
30,1,Same,69,77,45.67,100.0,0.0,0.0
