UserID,Phase,Group,Send2%,Challenge%,ActualSend2,ActualChallenge,SendPayout,ChallengePayouy
1,1,Unk,44,33,44.76,100.0,9.98,0.0
1,1,Same,41,65,52.08,100.0,5.58,0.0
1,1,Diff,39,67,43.33,100.0,9.32,0.0
2,1,Unk,74,24,44.76,100.0,0.0,0.0
2,1,Same,82,13,52.08,100.0,0.0,0.0
2,1,Diff,16,76,42.12,100.0,0.0,0.0
3,1,Unk,37,55,43.57,100.0,8.45,0.0
3,1,Same,49,8,52.08,100.0,9.66,0.0
3,1,Diff,77,28,36.06,100.0,0.0,0.0
4,1,Unk,87,18,46.75,100.0,0.0,0.0
4,1,Same,16,38,52.08,100.0,0.0,0.0
4,1,Diff,95,91,38.33,100.0,0.0,7.08
5,1,Unk,46,88,46.75,100.0,9.98,4.82
5,1,Same,68,39,52.08,100.0,0.88,0.0
5,1,Diff,2,69,36.06,100.0,0.0,0.0
6,1,Unk,44,45,45.16,100.0,9.95,0.0
6,1,Same,40,47,52.08,100.0,4.74,0.0
6,1,Diff,21,28,36.06,100.0,1.83,0.0
7,1,Unk,61,68,45.16,100.0,0.97,0.0
7,1,Same,48,61,52.08,100.0,9.4,0.0
7,1,Diff,10,64,45.15,100.0,0.0,0.0
8,1,Unk,49,96,45.95,100.0,9.67,9.42
8,1,Same,60,59,52.08,100.0,7.74,0.0
8,1,Diff,79,72,45.15,100.0,0.0,0.0
9,1,Unk,74,96,45.95,100.0,0.0,9.42
9,1,Same,83,24,52.08,100.0,0.0,0.0
9,1,Diff,20,41,36.06,100.0,0.71,0.0
10,1,Unk,69,77,45.95,100.0,0.0,0.0
10,1,Same,45,44,52.08,100.0,8.19,0.0
10,1,Diff,33,2,42.12,100.0,7.0,0.0
11,1,Unk,68,47,31.98,95.24,0.0,0.0
11,1,Same,39,41,45.83,91.67,8.32,0.0
11,1,Diff,18,50,39.85,100.0,0.0,0.0
12,1,Unk,84,20,35.79,95.24,0.0,0.0
12,1,Same,54,86,45.83,91.67,7.6,8.84
12,1,Diff,67,56,44.39,100.0,0.0,0.0
13,1,Unk,2,62,34.84,95.24,0.0,0.0
13,1,Same,37,63,45.83,91.67,7.19,0.0
13,1,Diff,48,33,44.39,100.0,9.53,0.0
14,1,Unk,95,59,35.16,95.24,0.0,0.0
14,1,Same,65,88,45.83,91.67,0.0,9.52
14,1,Diff,42,90,42.12,100.0,10.0,6.4
15,1,Unk,79,72,31.98,95.24,0.0,0.0
15,1,Same,17,79,45.83,91.67,0.0,4.22
15,1,Diff,23,85,39.85,100.0,0.0,1.9
16,1,Unk,69,9,33.57,95.24,0.0,0.0
16,1,Same,11,96,45.83,91.67,0.0,9.32
16,1,Diff,95,79,47.12,100.0,0.0,0.0
17,1,Unk,24,12,35.56,95.24,5.19,0.0
17,1,Same,68,44,45.83,91.67,0.0,0.0
17,1,Diff,38,50,42.12,100.0,9.39,0.0
18,1,Unk,11,18,33.17,95.24,0.0,0.0
18,1,Same,70,47,45.83,91.67,0.0,0.0
18,1,Diff,76,50,45.91,100.0,0.0,0.0
19,1,Unk,88,53,31.98,95.24,0.0,0.0
19,1,Same,14,60,45.83,91.67,0.0,0.0
19,1,Diff,46,76,48.94,100.0,9.69,0.0
20,1,Unk,60,28,36.75,95.24,0.0,0.0
20,1,Same,56,73,45.83,91.67,6.28,0.0
20,1,Diff,67,94,39.85,100.0,0.0,8.7
21,1,Unk,33,65,45.16,100.0,4.68,0.0
21,1,Same,63,5,33.83,100.0,0.0,0.0
21,1,Diff,87,70,48.48,100.0,0.0,0.0
22,1,Unk,54,82,47.14,100.0,8.31,0.0
22,1,Same,41,52,33.83,100.0,8.15,0.0
22,1,Diff,22,71,53.03,100.0,0.0,0.0
23,1,Unk,89,22,45.48,100.0,0.0,0.0
23,1,Same,31,81,33.83,100.0,9.71,0.0
23,1,Diff,31,46,57.58,100.0,0.0,0.0
24,1,Unk,94,77,43.57,100.0,0.0,0.0
24,1,Same,20,92,33.83,100.0,3.11,7.7
24,1,Diff,97,41,50.76,100.0,0.0,0.0
25,1,Unk,49,27,45.48,100.0,9.55,0.0
25,1,Same,39,24,33.83,100.0,9.04,0.0
25,1,Diff,73,40,54.55,100.0,0.0,0.0
26,1,Unk,12,6,43.57,100.0,0.0,0.0
26,1,Same,20,66,33.83,100.0,3.11,0.0
26,1,Diff,84,72,51.52,100.0,0.0,0.0
27,1,Unk,41,34,43.57,100.0,9.76,0.0
27,1,Same,26,26,33.83,100.0,7.79,0.0
27,1,Diff,46,41,57.58,100.0,5.18,0.0
28,1,Unk,18,92,43.57,100.0,0.0,7.7
28,1,Same,53,53,33.83,100.0,0.0,0.0
28,1,Diff,30,33,48.48,100.0,0.0,0.0
29,1,Unk,35,40,45.16,100.0,6.28,0.0
29,1,Same,87,35,33.83,100.0,0.0,0.0
29,1,Diff,18,69,53.03,100.0,0.0,0.0
30,1,Unk,42,28,45.95,95.24,9.44,0.0
30,1,Same,19,68,33.83,100.0,2.08,0.0
30,1,Diff,31,48,48.48,93.18,0.0,0.0
31,1,Unk,68,18,35.16,95.24,0.0,0.0
31,1,Same,95,98,52.0,100.0,0.0,9.86
31,1,Diff,68,70,47.73,93.18,0.0,0.0
32,1,Unk,24,71,31.98,95.24,7.71,0.0
32,1,Same,17,66,52.0,100.0,0.0,0.0
32,1,Diff,37,62,44.7,93.18,7.87,0.0
33,1,Unk,63,68,33.17,95.24,0.0,0.0
33,1,Same,39,7,52.0,100.0,3.92,0.0
33,1,Diff,88,6,47.73,93.18,0.0,0.0
34,1,Unk,54,78,36.75,95.24,0.0,0.0
34,1,Same,68,66,52.0,100.0,0.78,0.0
34,1,Diff,86,63,40.91,93.18,0.0,0.0
35,1,Unk,49,31,36.75,95.24,4.59,0.0
35,1,Same,51,54,52.0,100.0,9.96,0.0
35,1,Diff,44,3,43.18,93.18,9.98,0.0
36,1,Unk,64,35,35.16,95.24,0.0,0.0
36,1,Same,13,60,52.0,100.0,0.0,0.0
36,1,Diff,85,66,38.64,93.18,0.0,0.0
37,1,Unk,14,5,31.98,95.24,0.0,0.0
